Problem, Method, Param1, Param2, Param3, SolutionValue, Time
5, GA,750,100,0.01,1725.0,35.7492759228
5, SA,2000,0.99,1e-05,1708.0,6.71159815788
5, GA,750,100,0.05,1721.0,35.8813760281
5, SA,2000,0.99,0.001,1569.0,5.04668784142
5, GA,750,100,0.1,1517.0,46.7143499851
5, SA,2000,0.99,0.1,1595.0,3.4610478878
6, GA,100,10,0.01,1523.0,3.9600918293
6, SA,500,0.85,1e-05,1514.0,0.418622970581
6, GA,100,10,0.05,1393.0,3.91423106194
6, SA,500,0.85,0.001,1497.0,0.305387020111
6, GA,100,10,0.1,1323.0,3.9325799942
6, SA,500,0.85,0.1,1368.0,0.220504045486
6, GA,100,25,0.01,1558.0,5.0113120079
6, SA,500,0.9,1e-05,1587.0,0.64933681488
6, GA,100,25,0.05,1218.0,5.01960396767
6, SA,500,0.9,0.001,1493.0,0.467180013657
6, GA,100,25,0.1,1499.0,5.03562998772
6, SA,500,0.9,0.1,1579.0,0.32023191452
6, GA,100,50,0.01,1409.0,6.82853484154
6, SA,500,0.95,1e-05,1550.0,1.33955812454
6, GA,100,50,0.05,1291.0,6.84456801414
6, SA,500,0.95,0.001,1587.0,0.979794025421
6, GA,100,50,0.1,1383.0,6.84269213676
6, SA,500,0.95,0.1,1598.0,0.64653801918
6, GA,100,100,0.01,1111.0,0.0797071456909
6, SA,500,0.99,1e-05,1620.0,6.77723789215
6, GA,100,100,0.05,1397.0,0.0824589729309
6, SA,500,0.99,0.001,1577.0,4.99716091156
6, GA,100,100,0.1,1502.0,0.0815827846527
6, SA,500,0.99,0.1,1573.0,3.27157497406
6, GA,200,10,0.01,1353.0,10.3806519508
6, SA,750,0.85,1e-05,1580.0,0.436258077621
6, GA,200,10,0.05,1258.0,7.07912683487
6, SA,750,0.85,0.001,1457.0,0.326656103134
6, GA,200,10,0.1,1611.0,7.11350893974
6, SA,750,0.85,0.1,1453.0,0.206285953522
6, GA,200,25,0.01,1409.0,11.5991849899
6, SA,750,0.9,1e-05,1443.0,0.652126073837
6, GA,200,25,0.05,1560.0,8.26308894157
6, SA,750,0.9,0.001,1658.0,0.497617959976
6, GA,200,25,0.1,1410.0,8.54695487022
6, SA,750,0.9,0.1,1440.0,0.325486183167
6, GA,200,50,0.01,1674.0,10.3045430183
6, SA,750,0.95,1e-05,1633.0,1.3701479435
6, GA,200,50,0.05,1768.0,10.3443140984
6, SA,750,0.95,0.001,1592.0,1.00195097923
6, GA,200,50,0.1,1641.0,10.3717010021
6, SA,750,0.95,0.1,1621.0,0.68058681488
6, GA,200,100,0.01,1597.0,14.3850209713
6, SA,750,0.99,1e-05,1676.0,6.97122597694
6, GA,200,100,0.05,1725.0,14.3992609978
6, SA,750,0.99,0.001,1645.0,5.18254685402
6, GA,200,100,0.1,1500.0,14.4309821129
